id,key,filename,content_type,metadata,byte_size,checksum,created_at
314,froWTmNSgscgrt35wq7k5wwR,DSC01012.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2855770,feNLMeHElOajXBu8sOGZWg==,2018-03-08 21:31:46.487481
316,FqPiP3HzTnpkmnXwKAQnKZyy,DSC02673.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2904893,DPId+Z4knR3KnXlqA0vPow==,2018-03-08 21:32:22.329508
317,rGmjcmjC3VDo6NzaWGQ8wnZh,DSC02674.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2501123,OwpCTGpZG5ewI4AV/noSLA==,2018-03-08 21:32:22.347388
318,8Adxaz2URYiEh5hhU3BFBFLi,DSC02680.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2462441,cYbnLquyXEMhcOzJ/38eJg==,2018-03-08 21:32:41.794749
323,K8y1XVP1aSwSMd8cAKBVPYos,DSC01755.JPG,image/jpeg,"{""identified"":true,""width"":5152,""height"":3864,""analyzed"":true}",8281638,2RwErCfayXghFOSMU2xNQg==,2018-03-08 21:33:58.399474
330,eTvWwmCbHPhALd5mvdKnwbRL,DSC01159.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2840547,aGCPYwAR9bx28NyrcVPPbw==,2018-03-08 21:35:25.717184
334,G3nstzB9CJFbyhci35cu3Utp,DSC00473.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2477233,U4DqOGrmlSMHl9aeqDTn7Q==,2018-03-08 21:36:50.928202
336,NFBw4WiyopMGxJ2k2xjBxuHn,DSC00476.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2457948,LwZkE0xr1rSWY9hdSrcHCg==,2018-03-08 21:37:21.344766
340,Lx6vjXMKdCpTVve8qtEd6UN7,DSC00435.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2530131,2FadkBeelAT9xxKHPZ5Prw==,2018-03-08 21:38:28.830153
344,MSh6mcThSEpBjxukMQbGCyKR,DSC01503.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2838667,xpa3896a5XoQjI2EuUJy6Q==,2018-03-08 21:39:44.992371
363,qG3j1awG6rRPD3Y1Lvd6R8GW,IMG_8519.JPG,image/jpeg,"{""identified"":true,""width"":3264,""height"":2448,""analyzed"":true}",1250739,aH40kH4VTQ93AGaLLmZ0Aw==,2018-03-08 21:48:33.28565
364,xfYRQ3s2JnrtUrivKbupu8aJ,IMG_8520.JPG,image/jpeg,"{""identified"":true,""width"":3264,""height"":2448,""analyzed"":true}",1032646,p+Adud/8wFTkOmaaQmGYbw==,2018-03-08 21:48:33.295819
373,sKv6af5MWQWgfP4kC6fWygTE,DSC02143.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2882539,1HyQjfr5CIxZxponhvo5zQ==,2018-03-08 21:50:32.284473
